Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.6,762.852,121.635,3.198,1730.15
11.6,565.72,3.146,125.719,1730.15
12.6,670.578,4.194,125.719,1730.15
13.6,274.989,2.097,4.194,905.97
14.6,313.786,65.012,4.194,905.97
15.6,313.786,245.367,4.194,905.97
16.6,313.786,429.916,4.194,905.97
17.6,259.26,56.623,40.894,946.864
18.6,259.26,299.893,40.894,946.864
19.6,299.631,166.724,4.194,946.864
20.6,299.631,361.759,4.194,946.864
21.6,299.631,210.764,1.489,946.864
22.6,299.631,34.603,0.464,946.864
23.6,299.631,271.581,0.464,946.864
24.6,299.631,61.866,0.283,946.864
25.6,299.631,334.496,0.283,946.864
26.6,299.631,106.955,0.215,946.864
27.6,299.631,375.39,0.215,946.864
28.6,299.631,148.898,0.207,946.864
29.6,299.631,418.382,0.207,946.864
30.6,299.631,196.084,0.211,946.864
31.6,299.631,472.908,0.211,946.864
32.6,299.631,229.638,0.208,946.864
33.6,299.631,505.414,0.208,946.864
34.6,299.631,253.755,0.219,946.864
35.6,299.631,516.948,0.219,946.864
36.6,299.631,267.387,0.217,946.864
37.6,299.631,15.729,0.215,946.864
38.6,299.631,285.213,0.215,946.864
39.6,299.631,32.506,0.217,946.864
40.6,299.631,314.573,0.217,946.864
41.6,299.631,51.38,0.223,946.864
42.6,299.631,330.301,0.223,946.864
43.6,299.631,44.04,0.219,946.864
44.6,299.631,315.621,0.219,946.864
45.6,299.631,48.234,0.226,946.864
46.6,299.631,330.301,0.226,946.864
47.6,299.644,60.817,0.226,946.864
48.6,299.644,335.544,0.226,946.864
49.6,299.652,74.449,0.224,946.864
50.6,299.652,343.933,0.224,946.864
51.6,299.661,77.595,0.214,946.864
52.6,299.661,355.467,0.214,946.864
53.6,299.667,89.129,0.219,946.864
54.6,299.667,359.662,0.219,946.864
55.6,299.679,97.518,0.224,946.864
56.6,299.679,374.342,0.224,946.864
57.6,299.685,102.76,0.219,946.864
58.6,299.685,382.73,0.219,946.864
59.7,299.688,121.635,0.219,946.864
