Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.6,194.796,58.72,5.476,643.826
11.6,194.796,78.643,5.476,643.826
12.6,249.959,48.234,25.166,643.826
13.6,268.407,57.672,12.038,643.826
14.6,268.407,118.489,12.038,643.826
15.6,279.941,45.089,5.127,643.826
16.6,279.941,108.003,5.127,643.826
17.6,279.941,18.874,4.923,643.826
18.6,279.941,88.08,4.923,643.826
19.6,279.941,155.189,4.923,643.826
20.6,279.941,38.797,4.975,643.826
21.6,279.941,106.955,4.975,643.826
22.6,279.941,176.161,4.975,643.826
23.6,279.941,42.992,5.452,643.826
24.6,279.941,110.1,5.452,643.826
25.6,279.941,175.112,5.452,643.826
26.6,279.941,23.069,5.467,643.826
27.6,279.941,95.42,5.467,643.826
28.6,279.941,166.724,5.467,643.826
29.6,279.941,0.0,5.592,643.826
30.6,279.941,70.255,5.592,643.826
31.6,279.941,134.218,5.592,643.826
32.6,279.941,206.569,5.592,643.826
33.6,279.941,27.263,5.709,643.826
34.6,279.941,94.372,5.709,643.826
35.6,279.941,162.529,5.709,643.826
36.6,279.941,228.59,5.709,643.826
37.6,147.821,46.137,5.721,538.968
38.6,147.821,121.635,5.721,538.968
39.6,147.821,195.035,5.721,538.968
40.6,147.821,3.146,5.243,538.968
41.6,109.005,52.429,0.802,538.968
42.6,109.005,122.683,0.802,538.968
43.6,109.005,191.889,0.802,538.968
44.6,109.005,262.144,0.802,538.968
45.6,109.005,13.631,1.801,538.968
46.6,109.005,83.886,1.801,538.968
47.6,109.005,157.286,1.801,538.968
48.6,109.005,230.687,1.801,538.968
49.6,109.005,305.136,1.801,538.968
50.6,109.005,57.672,1.853,538.968
51.6,109.005,130.023,1.853,538.968
52.7,109.005,199.229,1.853,538.968
53.7,109.005,269.484,1.853,538.968
54.7,109.005,16.777,1.881,381.682
55.7,109.005,88.08,1.881,381.682
56.7,109.005,160.432,1.881,381.682
57.7,109.005,234.881,1.881,381.682
58.7,109.005,38.797,1.689,383.779
