time (s),total frames,fps
16.104,1,1
17.006,44,43
18.001,180,136
19.002,498,318
20.002,874,376
21.001,1286,412
22.002,1662,376
23.002,1975,313
24.0,2234,259
25.001,2521,287
26.001,2857,336
27.0,3259,402
28.001,3703,444
29.0,4147,444
30.001,4536,389
31.0,4856,320
32.0,5148,292
33.001,5446,298
34.002,5762,316
35.001,6174,412
36.0,6625,451
37.001,7062,437
38.001,7455,393
39.003,7786,331
40.0,8073,287
41.002,8378,305
42.0,8727,349
43.0,9152,425
44.001,9604,452
45.001,10064,460
46.003,10468,404
47.002,10806,338
48.001,11108,302
49.001,11417,309
50.002,11781,364
51.001,12214,433
52.001,12700,486
53.0,13174,474
54.002,13569,395
55.002,13900,331
56.003,14192,292
57.002,14487,295
58.0,14839,352
59.0,15266,427
60.0,15737,471
