Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.6,675.587,176.161,22.02,1928.331
11.6,789.882,184.549,22.02,1928.331
12.6,553.428,2.097,85.669,1793.065
13.6,677.16,60.817,85.669,1793.065
14.6,744.269,445.645,85.669,1793.065
15.6,452.765,213.91,52.429,1793.065
16.6,520.922,324.01,52.429,1793.065
17.7,604.808,451.936,52.429,1793.065
19.6,421.307,244.318,109.052,1793.065
20.6,428.647,695.206,109.052,1793.065
21.6,601.271,252.707,115.343,1793.065
22.6,601.271,436.208,115.343,1793.065
23.6,715.063,27.263,77.595,1793.065
24.6,715.063,224.395,77.595,1793.065
25.6,715.063,423.625,77.595,1793.065
26.6,792.134,66.06,4.194,1793.065
27.6,792.134,265.29,4.194,1793.065
28.6,792.134,464.519,4.194,1793.065
29.6,792.134,63.963,2.547,1793.065
30.6,792.134,268.435,2.547,1793.065
31.6,792.134,468.713,2.547,1793.065
32.6,792.134,30.409,0.928,1793.065
33.6,792.134,223.347,0.928,1793.065
34.6,792.134,426.77,0.928,1793.065
35.6,792.134,635.437,0.928,1793.065
36.6,792.134,161.481,0.293,1793.065
37.6,792.134,363.856,0.293,1793.065
38.6,792.134,571.474,0.293,1793.065
39.6,792.134,66.06,0.284,1793.065
40.6,792.134,275.775,0.284,1793.065
41.6,792.134,481.296,0.284,1793.065
42.6,792.134,689.963,0.284,1793.065
43.6,792.134,170.918,0.243,1793.065
44.6,792.134,384.827,0.243,1793.065
45.6,792.134,599.785,0.243,1793.065
46.6,792.134,65.012,0.272,1793.065
47.6,792.134,281.018,0.272,1793.065
48.6,792.134,495.976,0.272,1793.065
49.6,792.134,710.935,0.272,1793.065
50.6,792.134,162.529,0.268,1793.065
51.6,792.134,374.342,0.268,1793.065
52.6,792.134,586.154,0.268,1793.065
53.6,792.134,25.166,0.268,1793.065
54.6,792.134,236.978,0.268,1793.065
55.6,792.134,447.742,0.268,1793.065
56.6,792.134,659.554,0.268,1793.065
57.6,792.134,89.129,0.278,1793.065
58.6,792.134,299.893,0.278,1793.065
59.6,792.134,508.559,0.278,1793.065
